// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",9,relevante,,1,scholar,11,0,CE-SEG,"International Conference on Anti-counterfeiting, Security, and Identification in Communication (h5=9)"
ASMS,Advanced Satellite Multimedia Systems Conference,,relevante,,1,nenhum,14,0,CE-WEBMEDIA,
ASONAM,International Conference on Advances in Social Networks Analysis and Mining,24,relevante,,1,scholar,36,0,CE-BD|CE-SI,International Conference on Advances in Social Networks Analysis and Mining (h5=24)
ASP-DAC,Asia and South Pacific Design Automation Conference,34,top10,,1,scholar,38,0,CE-CCI|CE-ESC,Asia and South Pacific Design Automation Conference (ASP-DAC) (h5=34)
ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,77,top10,,1,scholar,66,0,CE-ACPAD|CE-ESC|CE-LP,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS) (h5=77)
ASPRS,Annual Conference and International Lidar Mapping Forum,,relevante,,1,nenhum,,0,CE-RV,
ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,36,top10,,1,scholar,32,1,CE-IE|CE-IHC|CE-RV,"International ACM Conference on Assistive Technologies (Assets) (h5=36) || JMIR Rehabilitation and Assistive Technologies (h5=24) || Journal of Accounting Research, Utility Finance and Digital Assets (h5=13)"
AST,IEEE/ACM International Workshop on Automation of Software Testing,,relevante,,1,nenhum,13,0,CE-ES,
ASYNC,Symposium on Asynchronous Circuits and Systems,,top20,,1,nenhum,8,0,CE-CCI,
ATC,USENIX Annual Technical Conference,57,relevante,,1,scholar,59,0,CE-RESD,USENIX Annual Technical Conference (h5=57)
AUDIOMOSTLY,Audio Mostly Conference,13,top20,,1,scholar,10,0,CE-CM,International Audio Mostly Conference (h5=13)
AVI,Working Conference on Advanced Visual Interfaces,20,top20,,1,scholar,15,0,CE-IHC|CE-RV,Working Conference on Advanced Visual Interfaces (AVI) (h5=20)
AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,13,relevante,,1,scholar,23,0,CE-GRAPI,IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS) (h5=13)
BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",21,top10,,1,scholar,19,0,CE-BioComp|CE-CAS,"ACM Conference on Bioinformatics, Computational Biology and Health Informatics (h5=21)"
BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,relevante,,1,nenhum,11,0,CE-IHC,
BDCLOUD,International Conference on Big Data and Cloud Computing,7,relevante,,1,scholar,4,0,CE-BD,IEEE International Conference on Big Data and Cloud Computing (BdCloud) (h5=7) || International Conference on Cloud Computing and Big Data (h5=7)
BESC,International Conference on Behavioural and Social Computing,13,relevante,,1,scholar,8,0,CE-SC,International Conference on Behavioural and Social Computing (h5=13)
BIATA,Bioinformatics: from Algorithms to Applications,,top20,,1,nenhum,,0,CE-BioComp,
BIBE,IEEE International Conference on Bioinformatics and Bioengineering,20,top10,,1,scholar,11,0,CE-BioComp,"IEEE International Conference on Bioinformatics and Bioengineering, BIBE (h5=20)"
BIBM,IEEE International Conference on Bioinformatics and Biomedicine,31,top10,,1,scholar,23,0,CE-BioComp,IEEE International Conference on Bioinformatics and Biomedicine (h5=31)
BIGDATA,IEEE International Conference on Big Data,55,relevante,,1,scholar,54,1,CE-ACPAD|CE-BD|CE-IC,"IEEE International Conference on Big Data (h5=55) || International Journal of AI, BigData, Computational and Management Studies (h5=9) || The Journal of Bigdata (h5=8) || International Conference on Bigdata Blockchain and Economy Management (h5=5)"
BigDataSE,IEEE International Conference On Big Data Science And Engineering,,relevante,,1,nenhum,,0,CE-BD,
BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,17,relevante,,1,scholar,18,0,CE-BD,International Conference on Big Data Computing Service and Applications (BigDataService) (h5=17)
BIGMM,IEEE International Conference on Multimedia Big Data,17,relevante,,1,scholar,22,0,CE-GRAPI,IEEE International Conference on Multimedia Big Data (h5=17)
BigSpatial,International Workshop on Analytics for Big Geospatial Data,,relevante,,1,nenhum,,0,CE-Geoinformática,
BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,21,top20,,1,scholar,17,0,CE-R,IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics (h5=21)
BIS,International Conference on Business Information Systems,56,relevante,,1,scholar,16,1,CE-SI,Business & Information Systems Engineering (h5=56) || Information Systems and e-Business Management (h5=39) || International Journal of Business Information Systems (h5=26)
BLOCKCHAIN,IEEE International Conference on Blockchain,38,relevante,,1,scholar,34,1,CE-RESD|CE-SEG,"Blockchain: Research and Applications (h5=38) || Frontiers in Blockchain (h5=37) || IEEE International Conference on Blockchain and Cryptocurrency (h5=32) || IEEE International Conference on Blockchain (h5=30) || Conference on Blockchain Research & Applications for Innovative Networks and Services (h5=22) || International Conference on Blockchain and Trustworthy Systems (h5=16) || International Conference on Blockchain Computing and Applications (h5=15) || Blockchain in Healthcare Today (h5=13) || International Conference on Blockchain Technology and Information Security (h5=11) || International Congress on Blockchain and Applications (h5=11) || IEEE International Conference on Blockchain and Distributed Systems Security (h5=9) || International Conference on Artificial Intelligence, Blockchain, and Internet of Things (h5=7) || International Conference on Computer Science and Blockchain (h5=6) || International Conference on Computer, Blockchain and Financial Development (h5=6) || International Conference on Bigdata Blockchain and Economy Management (h5=5) || International Academic Conference on Blockchain, Information Technology and Smart Finance (h5=3)"
BMSB,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting,14,relevante,,1,scholar,16,0,CE-WEBMEDIA,IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (h5=14)
BMVC,British Machine Vision Conference,57,relevante,,1,scholar,65,0,CE-GRAPI|CE-RV,British Machine Vision Conference (BMVC) (h5=57)
BotSE,International Workshop on Bots in Software Engineering,,relevante,,1,nenhum,10,0,CE-ES,
BPM,International Conference on Business Process Management,32,top10,,1,scholar,27,0,CE-SI,Business Process Management (h5=32)
BPMS2,Workshop on Social and Human Aspects of Business Process Management,,relevante,,1,nenhum,3,0,CE-SI,
BRACIS,Brazilian Conference on Intelligent Systems,41,top10,,1,scholar,16,1,CE-IA|CE-IC,International IEEE Conference on Intelligent Systems (h5=41) || Brazilian Conference on Intelligent Systems (BRACIS) (h5=18)
BRAHUR,Brazilian Humanoid Robot Workshop,,relevante,,1,nenhum,,0,CE-R,
BRASERO,Brazilian Workshop on Service Robotics,4,relevante,,1,scholar,,0,CE-R,International Conference on Service Robotics (h5=4)
BraSNAM,Brazilian Workshop on Social Network Analysis and Mining,47,top10,,1,scholar,8,1,CE-BD|CE-PLN|CE-SI|CE-WEBMEDIA,Social Network Analysis and Mining (h5=47) || Brazilian Workshop on Social Network Analysis and Mining (BraSNAM) (h5=8)
BreSci,Brazilian e-Science Workshop,,relevante,,1,nenhum,,0,CE-BD,
BSB,Brazilian Symposium on Bioinformatics,137,top20,,1,scholar,,0,CE-BioComp,Bioinformatics (h5=137)
BSN,IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS,10,top20,,1,scholar,15,0,CE-CAS,International Workshop on Wearable and Implantable Body Sensor Networks (h5=10)
BTAS,IEEE International Conference on Biometrics: Theory Applications and Systems,34,relevante,,1,scholar,32,0,CE-GRAPI,IEEE International Conference on Biometrics: Theory Applications and Systems (BTAS) (h5=34)
C&T,International Conference on Communities and Technologies,,top10,,1,nenhum,12,0,CE-SC,
CADE/IJCAR,International Conference on Automated Deduction,24,top20,,1,scholar,17,0,CE-MF,International Conference on Automated Deduction (h5=24)
CAIN,International Conference on AI Engineering – Software Engineering for AI,19,relevante,,1,scholar,13,0,CE-ES,ACM International Conference on AI Engineering–Software Engineering for (h5=19)
CAIP,International Conference on Computer Analysis of Images and Patterns,11,top20,,1,scholar,16,0,CE-GRAPI,International Conference on Computer Analysis of Images and Patterns (h5=11)
CAiSE,International Conference on Advanced Information Systems Engineering,24,top10,,1,scholar,27,0,CE-BD|CE-ES|CE-SI,International Conference on Advanced Information Systems Engineering (h5=24)
CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,13,relevante,,1,scholar,10,0,CE-ACO,Conference on Algorithms and Discrete Applied Mathematics (h5=13)
CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,17,relevante,,1,scholar,25,0,CE-RESD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD) (h5=17)
